"ID1","AB_Flow","BA_Flow","Tot_Flow","AB_Time","BA_Time","Max_Time","AB_VOC","BA_VOC","Max_VOC","AB_VKmT","BA_VKmT","Tot_VKmT","AB_VHT","BA_VHT","Tot_VHT","AB_Speed","BA_Speed","AB_VDF","BA_VDF","Max_VDF"
19,100.7578,,100.7578,0.221405,,0.221405,0.0719699,,0.0719699,14.8073,,14.8073,0.371805,,0.371805,39.8254,,0.221405,,0.221405
20,100.7578,,100.7578,0.430469,,0.430469,0.0719699,,0.0719699,28.7892,,28.7892,0.722886,,0.722886,39.8254,,0.430469,,0.430469
21,94.7578,,94.7578,0.168263,,0.168263,0.0676842,,0.0676842,10.5880,,10.5880,0.265738,,0.265738,39.8436,,0.168263,,0.168263
22,0.0000,1234.4054,1234.4054,0.060348,0.0844042,0.0844042,0.0000,0.881718,0.881718,0.0000,49.6626,49.6626,0.0000,1.73648,1.73648,40.0000,28.5995,0.060348,0.0844042,0.0844042
24,1188.9553,,1188.9553,0.258156,,0.258156,0.849254,,0.849254,149.0784,,149.0784,5.11561,,5.11561,29.1419,,0.258156,,0.258156
25,114.2038,22.3575,136.5613,0.15776,0.156944,0.15776,0.0815742,0.0159696,0.0815742,11.9456,2.33857,14.2842,0.30028,0.0584812,0.358762,39.7815,39.9883,0.15776,0.156944,0.15776
27,22.3575,68.7538,91.1113,0.0480575,0.0481494,0.0481494,0.0159696,0.0491099,0.0491099,0.716087,2.20212,2.9182,0.0179074,0.0551742,0.0730816,39.9883,39.9121,0.0480575,0.0481494,0.0481494
29,307.8000,1062.6000,1370.4000,0.0536106,0.0677126,0.0677126,0.219857,0.759,0.759,10.6523,36.7745,47.4268,0.275022,1.19919,1.47421,38.7326,30.6661,0.0536106,0.0677126,0.0677126
31,1062.6000,0.0000,1062.6000,0.0690078,0.052905,0.0690078,0.759,0.0000,0.759,37.4779,0.0000,37.4779,1.22213,0.0000,1.22213,30.6661,40.0000,0.0690078,0.052905,0.0690078
33,128.7331,307.8000,436.5331,0.0426607,0.0437584,0.0437584,0.0919522,0.219857,0.219857,3.63645,8.69473,12.3312,0.0915307,0.224481,0.316012,39.7293,38.7326,0.0426607,0.0437584,0.0437584
35,387.6000,1168.8000,1556.4000,0.124212,0.161108,0.161108,0.276857,0.834857,0.834857,30.5813,92.2172,122.7984,0.802413,3.13839,3.9408,38.1116,29.3836,0.124212,0.161108,0.161108
37,1168.8000,387.6000,1556.4000,0.24297,0.187327,0.24297,0.834857,0.276857,0.834857,139.0743,46.1201,185.1945,4.73306,1.21013,5.94319,29.3836,38.1116,0.24297,0.187327,0.24297
39,42.6000,228.6000,271.2000,0.120774,0.122973,0.122973,0.0304286,0.163286,0.163286,3.42679,18.3888,21.8156,0.0857494,0.468526,0.554276,39.9628,39.2482,0.120774,0.122973,0.122973
41,42.6000,228.6000,271.2000,0.116083,0.118197,0.118197,0.0304286,0.163286,0.163286,3.2937,17.6747,20.9684,0.0824192,0.45033,0.53275,39.9628,39.2482,0.116083,0.118197,0.118197
43,42.6000,228.6000,271.2000,0.116905,0.119033,0.119033,0.0304286,0.163286,0.163286,3.31701,17.7997,21.1167,0.0830024,0.453517,0.536519,39.9628,39.2482,0.116905,0.119033,0.119033
45,42.6000,228.6000,271.2000,0.105712,0.107637,0.107637,0.0304286,0.163286,0.163286,2.99942,16.0955,19.0949,0.0750554,0.410095,0.48515,39.9628,39.2482,0.105712,0.107637,0.107637
47,228.6000,42.6000,271.2000,0.119593,0.117454,0.119593,0.163286,0.0304286,0.163286,17.8834,3.3326,21.2160,0.455648,0.0833925,0.539041,39.2482,39.9628,0.119593,0.117454,0.119593
49,42.6000,228.6000,271.2000,0.145589,0.14824,0.14824,0.0304286,0.163286,0.163286,4.13088,22.1671,26.2980,0.103368,0.564793,0.668161,39.9628,39.2482,0.145589,0.14824,0.14824
51,228.6000,42.6000,271.2000,0.123869,0.121654,0.123869,0.163286,0.0304286,0.163286,18.5228,3.45175,21.9745,0.471939,0.0863741,0.558313,39.2482,39.9628,0.123869,0.121654,0.123869
53,42.6000,228.6000,271.2000,0.147033,0.14971,0.14971,0.0304286,0.163286,0.163286,4.17186,22.3870,26.5589,0.104394,0.570396,0.67479,39.9628,39.2482,0.147033,0.14971,0.14971
55,42.6000,228.6000,271.2000,0.150372,0.15311,0.15311,0.0304286,0.163286,0.163286,4.2666,22.8954,27.1620,0.106764,0.58335,0.690114,39.9628,39.2482,0.150372,0.15311,0.15311
57,646.4899,727.4098,1373.8996,0.117926,0.121012,0.121012,0.461778,0.519578,0.519578,45.2006,50.8583,96.0589,1.27063,1.46709,2.73772,35.5734,34.6661,0.117926,0.121012,0.121012
59,575.6098,680.6899,1256.2996,0.226917,0.234249,0.234249,0.41115,0.486207,0.486207,79.0917,93.5302,172.6218,2.17693,2.65751,4.83444,36.3318,35.1946,0.226917,0.234249,0.234249
61,0.0000,0.0000,0.0000,0.040005,0.040005,0.040005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,40.0000,0.040005,0.040005,0.040005
63,4800.1628,,4800.1628,0.442433,,0.442433,1.20004,,1.20004,1253.4953,,1253.4953,35.3958,,35.3958,35.4137,,0.442433,,0.442433
64,0.0000,0.0000,0.0000,0.289124,0.289124,0.289124,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,40.0000,0.289124,0.289124,0.289124
66,0.0000,0.0000,0.0000,0.270957,0.270957,0.270957,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,40.0000,0.270957,0.270957,0.270957
68,0.0000,150.7996,150.7996,0.207921,0.209804,0.209804,0.0000,0.107714,0.107714,0.0000,20.9029,20.9029,0.0000,0.527307,0.527307,40.0000,39.6409,0.207921,0.209804,0.209804
70,1803.5014,173.4000,1976.9014,0.260217,0.147167,0.260217,1.28822,0.123857,1.28822,174.9072,16.8167,191.7239,7.82171,0.425314,8.24702,22.3618,39.5395,0.260217,0.147167,0.260217
72,173.4000,1652.7018,1826.1018,0.294204,0.486841,0.486841,0.123857,1.1805,1.1805,33.6184,320.4225,354.0410,0.85025,13.4101,14.2603,39.5395,23.8942,0.294204,0.486841,0.486841
74,0.0000,150.7996,150.7996,0.208276,0.210163,0.210163,0.0000,0.107714,0.107714,0.0000,20.9387,20.9387,0.0000,0.528209,0.528209,40.0000,39.6409,0.208276,0.210163,0.210163
76,471.3314,,471.3314,0.155548,,0.155548,0.336665,,0.336665,45.6593,,45.6593,1.22191,,1.22191,37.3672,,0.155548,,0.155548
77,150.7996,0.0000,150.7996,0.0232926,0.0230835,0.0232926,0.107714,0.0000,0.107714,2.32066,0.0000,2.32066,0.0585419,0.0000,0.0585419,39.6409,40.0000,0.0232926,0.0230835,0.0232926
79,0.6,150.7996,151.3996,0.404526,0.40819,0.40819,0.000428571,0.107714,0.107714,0.16181,40.6682,40.8301,0.00404526,1.02592,1.02996,40.0000,39.6409,0.404526,0.40819,0.40819
81,62.4000,2565.6474,2628.0474,0.415196,1.03094,1.03094,0.0445714,1.83261,1.83261,17.2402,708.8525,726.0927,0.431804,44.0840,44.5158,39.9261,16.0796,0.415196,1.03094,1.03094
83,2591.4839,167.4252,2758.9091,0.725128,0.291509,0.725128,1.85106,0.119589,1.85106,498.1791,32.1853,530.3644,31.3193,0.813432,32.1327,15.9065,39.5673,0.725128,0.291509,0.725128
85,105.6252,176.6361,282.2613,0.145628,0.146681,0.146681,0.0754466,0.126169,0.126169,10.2059,17.0673,27.2732,0.256366,0.43182,0.688186,39.8100,39.5241,0.145628,0.146681,0.146681
87,51.7550,18.0794,69.8344,0.0961419,0.0960341,0.0961419,0.0369678,0.0129139,0.0369678,3.31284,1.15726,4.4701,0.0829303,0.0289373,0.111868,39.9472,39.9920,0.0961419,0.0960341,0.0961419
89,18.0794,51.7550,69.8344,0.102955,0.103071,0.103071,0.0129139,0.0369678,0.0369678,1.24066,3.55158,4.79224,0.0310227,0.0889069,0.11993,39.9920,39.9472,0.102955,0.103071,0.103071
91,51.7550,18.0794,69.8344,0.00927624,0.00926584,0.00927624,0.0369678,0.0129139,0.0369678,0.319639,0.111658,0.431297,0.00800153,0.00279201,0.0107935,39.9472,39.9920,0.00927624,0.00926584,0.00927624
93,51.7550,18.0794,69.8344,0.0306014,0.0305671,0.0306014,0.0369678,0.0129139,0.0369678,1.05446,0.36835,1.42281,0.0263962,0.00921057,0.0356068,39.9472,39.9920,0.0306014,0.0305671,0.0306014
95,51.7550,18.0794,69.8344,0.0758771,0.0757921,0.0758771,0.0369678,0.0129139,0.0369678,2.61456,0.913335,3.52789,0.0654503,0.0228379,0.0882882,39.9472,39.9920,0.0758771,0.0757921,0.0758771
97,0.0000,0.0000,0.0000,0.144782,0.144782,0.144782,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,40.0000,0.144782,0.144782,0.144782
99,681.6240,,681.6240,0.328156,,0.328156,0.486874,,0.486874,131.1663,,131.1663,3.72799,,3.72799,35.1842,,0.328156,,0.328156
100,292.2000,1504.6137,1796.8137,0.127365,0.194084,0.194084,0.208714,1.07472,1.07472,24.0928,124.0599,148.1527,0.620266,4.86703,5.4873,38.8426,25.4899,0.127365,0.194084,0.194084
102,1031.4989,500.7093,1532.2082,0.373915,0.312985,0.373915,0.736785,0.357649,0.736785,199.5528,96.8667,296.4195,6.42822,2.61191,9.04013,31.0433,37.0865,0.373915,0.312985,0.373915
104,292.2000,1504.6137,1796.8137,0.0609475,0.0928746,0.0928746,0.208714,1.07472,1.07472,11.5290,59.3660,70.8951,0.296814,2.32901,2.62582,38.8426,25.4899,0.0609475,0.0928746,0.0928746
106,794.4000,37.2000,831.6000,0.0214102,0.0181527,0.0214102,0.567429,0.0265714,0.567429,9.60668,0.44986,10.0565,0.283471,0.0112547,0.294725,33.8895,39.9708,0.0214102,0.0181527,0.0214102
108,51.6000,819.6000,871.2000,0.106982,0.12722,0.12722,0.0368571,0.585429,0.585429,3.67536,58.3785,62.0538,0.0920049,1.73783,1.82983,39.9475,33.5928,0.106982,0.12722,0.12722
110,1552.8000,144.6000,1697.4000,0.200817,0.126369,0.200817,1.10914,0.103286,1.10914,129.7271,12.0805,141.8076,5.19715,0.304548,5.5017,24.9612,39.6668,0.200817,0.126369,0.200817
112,107.3072,237.0514,344.3586,0.0779443,0.0791495,0.0791495,0.076648,0.169322,0.169322,5.54875,12.2577,17.8064,0.1394,0.312708,0.452108,39.8046,39.1985,0.0779443,0.0791495,0.0791495
114,237.0514,107.3072,344.3586,0.0812052,0.0799687,0.0812052,0.169322,0.076648,0.169322,12.5761,5.69286,18.2689,0.32083,0.14302,0.463851,39.1985,39.8046,0.0812052,0.0799687,0.0812052
116,7.2,0.0000,7.2,0.19961,0.199602,0.19961,0.00514286,0.0000,0.00514286,0.95809,0.0000,0.95809,0.0239531,0.0000,0.0239531,39.9985,40.0000,0.19961,0.199602,0.19961
118,0.0000,7.2,7.2,0.051501,0.051503,0.051503,0.0000,0.00514286,0.00514286,0.0000,0.247205,0.247205,0.0000,0.00618035,0.00618035,40.0000,39.9985,0.051501,0.051503,0.051503
120,0.0000,,0.0000,0.0599865,,0.0599865,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,40.0000,,0.0599865,,0.0599865
121,0.0000,7.2,7.2,0.245357,0.245366,0.245366,0.0000,0.00514286,0.00514286,0.0000,1.17771,1.17771,0.0000,0.0294439,0.0294439,40.0000,39.9985,0.245357,0.245366,0.245366
123,26.4000,167.4374,193.8374,0.165767,0.167514,0.167514,0.0188571,0.119598,0.119598,2.91636,18.4965,21.4128,0.0729376,0.467469,0.540407,39.9843,39.5673,0.165767,0.167514,0.167514
125,167.4374,26.4000,193.8374,0.617034,0.610599,0.617034,0.119598,0.0188571,0.119598,68.1313,10.7423,78.8736,1.72191,0.268664,1.99057,39.5673,39.9843,0.617034,0.610599,0.617034
127,26.4000,167.4374,193.8374,0.15397,0.155592,0.155592,0.0188571,0.119598,0.119598,2.7088,17.1801,19.8889,0.0677466,0.434199,0.501946,39.9843,39.5673,0.15397,0.155592,0.155592
129,26.4000,167.4374,193.8374,0.143177,0.144686,0.144686,0.0188571,0.119598,0.119598,2.51893,15.9759,18.4948,0.062998,0.403765,0.466763,39.9843,39.5673,0.143177,0.144686,0.144686
131,26.4000,167.4374,193.8374,0.100624,0.101684,0.101684,0.0188571,0.119598,0.119598,1.77028,11.2277,12.9980,0.0442744,0.283762,0.328036,39.9843,39.5673,0.100624,0.101684,0.101684
133,575.6098,680.6899,1256.2996,0.114591,0.118293,0.118293,0.41115,0.486207,0.486207,39.9404,47.2317,87.1721,1.09932,1.34201,2.44134,36.3318,35.1947,0.114591,0.118293,0.118293
135,646.4899,727.4098,1373.8996,0.349138,0.358275,0.358275,0.461778,0.519578,0.519578,133.8234,150.5738,284.3972,3.7619,4.34355,8.10545,35.5733,34.6661,0.349138,0.358275,0.358275
137,44.7020,557.9915,602.6935,0.0777924,0.0851328,0.0851328,0.03193,0.398565,0.398565,2.31597,28.9090,31.2249,0.0579579,0.791723,0.849681,39.9594,36.5140,0.0777924,0.0851328,0.0851328
139,557.9915,44.7020,602.6935,0.246072,0.224855,0.246072,0.398565,0.03193,0.398565,83.5598,6.69417,90.2540,2.28843,0.167524,2.45596,36.5140,39.9594,0.246072,0.224855,0.246072
141,1429.9710,141.6000,1571.5710,0.348074,0.230934,0.348074,1.02141,0.101143,1.02141,218.3866,21.6253,240.0119,8.29559,0.545005,8.84059,26.3256,39.6791,0.348074,0.230934,0.348074
143,143.4000,1962.9281,2106.3281,0.0818804,0.155814,0.155814,0.102429,1.40209,1.40209,7.76353,106.2710,114.0345,0.195694,5.09752,5.29321,39.6717,20.8476,0.0818804,0.155814,0.155814
145,7.66757,27.0000,34.6676,0.182943,0.18301,0.18301,0.00547684,0.0192857,0.0192857,0.935114,3.29284,4.22795,0.0233788,0.0823547,0.105734,39.9983,39.9836,0.182943,0.18301,0.18301
147,557.9915,7.502,565.4935,0.0469447,0.0428553,0.0469447,0.398565,0.00535857,0.398565,15.9413,0.214325,16.1556,0.436579,0.00535834,0.441938,36.5140,39.9984,0.0469447,0.0428553,0.0469447
149,7.66757,27.0000,34.6676,0.0618731,0.0618958,0.0618958,0.00547684,0.0192857,0.0192857,0.316264,1.11367,1.42993,0.00790695,0.0278531,0.0357601,39.9983,39.9836,0.0618731,0.0618958,0.0618958
151,27.0000,7.66757,34.6676,0.0955906,0.0955556,0.0955906,0.0192857,0.00547684,0.0192857,1.71993,0.488432,2.20836,0.0430158,0.0122113,0.0552271,39.9836,39.9983,0.0955906,0.0955556,0.0955906
153,7.66757,27.0000,34.6676,0.158125,0.158183,0.158183,0.00547684,0.0192857,0.0192857,0.808254,2.84612,3.65438,0.0202072,0.0711822,0.0913895,39.9983,39.9836,0.158125,0.158183,0.158183
155,3946.4493,,3946.4493,0.0190512,,0.0190512,0.597947,,0.597947,94.1268,,94.1268,1.25307,,1.25307,75.1167,,0.0190512,,0.0190512
156,431.8934,,431.8934,0.183876,,0.183876,0.308495,,0.308495,49.9368,,49.9368,1.32358,,1.32358,37.7286,,0.183876,,0.183876
157,431.8934,,431.8934,0.134519,,0.134519,0.308495,,0.308495,36.5326,,36.5326,0.968298,,0.968298,37.7286,,0.134519,,0.134519
158,658.2219,,658.2219,0.152828,,0.152828,0.164555,,0.164555,98.6780,,98.6780,1.67658,,1.67658,58.8568,,0.152828,,0.152828
159,0.0000,,0.0000,0.090992,,0.090992,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,60.0000,,0.090992,,0.090992
160,12.6000,0.0000,12.6000,0.0979572,0.097947,0.0979572,0.009,0.0000,0.009,0.822755,0.0000,0.822755,0.020571,0.0000,0.020571,39.9958,40.0000,0.0979572,0.097947,0.0979572
162,658.2219,,658.2219,0.0553189,,0.0553189,0.470159,,0.470159,21.5100,,21.5100,0.606869,,0.606869,35.4443,,0.0553189,,0.0553189
163,0.0000,,0.0000,0.029878,,0.029878,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,60.0000,,0.029878,,0.029878
164,800.5427,72.0000,872.5427,0.182077,0.154303,0.182077,0.571816,0.0514286,0.571816,82.1541,7.38886,89.5429,2.42934,0.185164,2.61451,33.8174,39.9045,0.182077,0.154303,0.182077
166,72.0000,800.5427,872.5427,0.152496,0.179945,0.179945,0.0514286,0.571816,0.571816,7.30231,81.1918,88.4941,0.182995,2.40089,2.58388,39.9045,33.8174,0.152496,0.179945,0.179945
168,2346.1034,,2346.1034,0.072032,,0.072032,0.35547,,0.35547,235.2156,,235.2156,2.81657,,2.81657,83.5113,,0.072032,,0.072032
169,1.2,,1.2,0.0398596,,0.0398596,0.000857143,,0.000857143,0.0318876,,0.0318876,0.000797191,,0.000797191,39.9999,,0.0398596,,0.0398596
170,2579.4903,,2579.4903,0.0397234,,0.0397234,0.390832,,0.390832,140.7292,,140.7292,1.70777,,1.70777,82.4054,,0.0397234,,0.0397234
171,1888.8903,,1888.8903,0.156382,,0.156382,0.286195,,0.286195,420.9411,,420.9411,4.92313,,4.92313,85.5028,,0.156382,,0.156382
172,205.9444,,205.9444,0.0091856,,0.0091856,0.0312037,,0.0312037,2.83483,,2.83483,0.0315287,,0.0315287,89.9124,,0.0091856,,0.0091856
173,55.2000,,55.2000,0.0436847,,0.0436847,0.0394286,,0.0394286,1.60522,,1.60522,0.04019,,0.04019,39.9407,,0.0436847,,0.0436847
174,2227.7133,,2227.7133,0.144053,,0.144053,0.337532,,0.337532,449.5436,,449.5436,5.34849,,5.34849,84.0505,,0.144053,,0.144053
175,2121.5133,,2121.5133,0.0047541,,0.0047541,0.321441,,0.321441,14.2078,,14.2078,0.168098,,0.168098,84.5208,,0.0047541,,0.0047541
176,2299.7133,,2299.7133,0.148177,,0.148177,0.348441,,0.348441,475.5048,,475.5048,5.67941,,5.67941,83.7244,,0.148177,,0.148177
177,2299.7133,,2299.7133,0.148744,,0.148744,0.348441,,0.348441,477.3239,,477.3239,5.70113,,5.70113,83.7244,,0.148744,,0.148744
178,2720.3133,,2720.3133,0.151906,,0.151906,0.412169,,0.412169,562.7730,,562.7730,6.88719,,6.88719,81.7130,,0.151906,,0.151906
179,2720.3133,,2720.3133,0.152383,,0.152383,0.412169,,0.412169,564.5412,,564.5412,6.90883,,6.90883,81.7130,,0.152383,,0.152383
180,2720.3133,,2720.3133,0.152065,,0.152065,0.412169,,0.412169,563.3633,,563.3633,6.89441,,6.89441,81.7130,,0.152065,,0.152065
181,1370.1002,154.2000,1524.3002,0.0225496,0.0153701,0.0225496,0.978643,0.110143,0.978643,13.9079,1.56528,15.4732,0.51492,0.0395011,0.554421,27.0098,39.6263,0.0225496,0.0153701,0.0225496
183,2654.8687,,2654.8687,0.15168,,0.15168,0.402253,,0.402253,550.5932,,550.5932,6.71153,,6.71153,82.0370,,0.15168,,0.15168
184,306.0000,1427.0555,1733.0555,0.145175,0.213398,0.213398,0.218571,1.01933,1.01933,28.6869,133.7836,162.4705,0.740392,5.07551,5.8159,38.7455,26.3587,0.145175,0.213398,0.213398
186,2654.8687,,2654.8687,0.151541,,0.151541,0.402253,,0.402253,550.0888,,550.0888,6.70538,,6.70538,82.0370,,0.151541,,0.151541
187,2069.3652,255.6000,2324.9652,0.0319244,0.0162524,0.0319244,1.47812,0.182571,1.47812,21.9084,2.70604,24.6144,1.10105,0.0692352,1.17029,19.8976,39.0847,0.0319244,0.0162524,0.0319244
189,415.2000,1498.8000,1914.0000,0.143486,0.212672,0.212672,0.296571,1.07057,1.07057,37.6080,135.7583,173.3663,0.992925,5.31256,6.30548,37.8759,25.5542,0.143486,0.212672,0.212672
191,1924.7035,,1924.7035,0.145685,,0.145685,0.291622,,0.291622,398.8986,,398.8986,4.67335,,4.67335,85.3561,,0.145685,,0.145685
192,2158.7035,,2158.7035,0.0137948,,0.0137948,0.327076,,0.327076,41.8681,,41.8681,0.496316,,0.496316,84.3576,,0.0137948,,0.0137948
193,230.4000,,230.4000,0.166385,,0.166385,0.0576,,0.0576,38.2229,,38.2229,0.638919,,0.638919,59.8244,,0.166385,,0.166385
194,1043.7108,57.0000,1100.7108,0.0250175,0.0193534,0.0250175,0.745508,0.0407143,0.745508,13.4451,0.734274,14.1794,0.435185,0.0183857,0.45357,30.8951,39.9372,0.0250175,0.0193534,0.0250175
196,57.0000,721.2000,778.2000,0.0522145,0.0600311,0.0600311,0.0407143,0.515143,0.515143,1.98103,25.0653,27.0463,0.0496037,0.721573,0.771177,39.9372,34.7370,0.0522145,0.0600311,0.0600311
198,1192.9444,,1192.9444,0.106901,,0.106901,0.180749,,0.180749,186.9893,,186.9893,2.12544,,2.12544,87.9766,,0.106901,,0.106901
199,1192.9444,,1192.9444,0.164942,,0.164942,0.180749,,0.180749,288.5136,,288.5136,3.27943,,3.27943,87.9766,,0.164942,,0.164942
200,1192.9444,,1192.9444,0.122028,,0.122028,0.180749,,0.180749,213.4500,,213.4500,2.42621,,2.42621,87.9766,,0.122028,,0.122028
201,279.8095,,279.8095,0.347793,,0.347793,0.0423954,,0.0423954,145.7273,,145.7273,1.62193,,1.62193,89.8481,,0.347793,,0.347793
202,617.0226,,617.0226,0.250212,,0.250212,0.0934883,,0.0934883,229.9649,,229.9649,2.5731,,2.5731,89.3726,,0.250212,,0.250212
203,225.0000,170.3692,395.3692,0.102605,0.101866,0.102605,0.160714,0.121692,0.160714,15.1094,11.4408,26.5502,0.384767,0.289247,0.674015,39.2690,39.5537,0.102605,0.101866,0.102605
205,170.3692,225.0000,395.3692,0.122994,0.123886,0.123886,0.121692,0.160714,0.160714,13.8137,18.2432,32.0569,0.349239,0.464571,0.81381,39.5537,39.2690,0.122994,0.123886,0.123886
207,170.3692,225.0000,395.3692,0.115376,0.116212,0.116212,0.121692,0.160714,0.160714,12.9581,17.1133,30.0714,0.327608,0.435796,0.763404,39.5537,39.2690,0.115376,0.116212,0.116212
209,108.0000,989.8816,1097.8816,0.142337,0.179578,0.179578,0.0771429,0.707058,0.707058,10.1976,93.4666,103.6642,0.256206,2.96268,3.21889,39.8023,31.5480,0.142337,0.179578,0.179578
211,989.8816,108.0000,1097.8816,0.179565,0.142326,0.179565,0.707058,0.0771429,0.707058,93.4597,10.1968,103.6565,2.96246,0.256187,3.21865,31.5480,39.8023,0.179565,0.142326,0.179565
213,192.2542,,192.2542,0.426622,,0.426622,0.137324,,0.137324,53.9237,,53.9237,1.367,,1.367,39.4467,,0.426622,,0.426622
214,134.4000,,134.4000,0.166405,,0.166405,0.096,,0.096,14.8009,,14.8009,0.372748,,0.372748,39.7076,,0.166405,,0.166405
215,3345.0920,,3345.0920,0.0939952,,0.0939952,0.836273,,0.836273,230.7846,,230.7846,5.24038,,5.24038,44.0397,,0.0939952,,0.0939952
216,757.3717,66.6000,823.9717,0.0955212,0.0821305,0.0955212,0.54098,0.0475714,0.54098,41.3828,3.63902,45.0218,1.20575,0.0911649,1.29692,34.3212,39.9169,0.0955212,0.0821305,0.0955212
218,66.6000,757.3717,823.9717,0.137471,0.159884,0.159884,0.0475714,0.54098,0.54098,6.09104,69.2669,75.3580,0.152593,2.0182,2.17079,39.9169,34.3212,0.137471,0.159884,0.159884
220,468.2881,,468.2881,0.151506,,0.151506,0.334492,,0.334492,44.2195,,44.2195,1.18247,,1.18247,37.3957,,0.151506,,0.151506
221,538.2000,,538.2000,0.154356,,0.154356,0.384429,,0.384429,50.8351,,50.8351,1.38457,,1.38457,36.7154,,0.154356,,0.154356
222,538.2000,,538.2000,0.154564,,0.154564,0.384429,,0.384429,50.9035,,50.9035,1.38644,,1.38644,36.7154,,0.154564,,0.154564
223,248.4000,,248.4000,0.145417,,0.145417,0.177429,,0.177429,23.5570,,23.5570,0.602025,,0.602025,39.1296,,0.145417,,0.145417
224,248.4000,2100.1580,2348.5580,0.145063,0.289135,0.289135,0.177429,1.50011,1.50011,23.4996,198.6834,222.1830,0.600559,10.1205,10.7211,39.1296,19.6318,0.145063,0.289135,0.289135
226,2047.3580,,2047.3580,0.283439,,0.283439,1.4624,,1.4624,194.3045,,194.3045,9.67167,,9.67167,20.0901,,0.283439,,0.283439
227,143.4000,1294.3580,1437.7580,0.127067,0.180737,0.180737,0.102429,0.924541,0.924541,12.0479,108.7468,120.7947,0.30369,3.89897,4.20266,39.6717,27.8911,0.127067,0.180737,0.180737
229,1294.3580,143.4000,1437.7580,0.0677785,0.0476515,0.0677785,0.924541,0.102429,0.924541,40.7813,4.5181,45.2994,1.46216,0.113887,1.57605,27.8911,39.6717,0.0677785,0.0476515,0.0677785
231,143.4000,1294.3580,1437.7580,0.0125455,0.0178444,0.0178444,0.102429,0.924541,0.924541,1.1895,10.7367,11.9262,0.0299836,0.38495,0.414934,39.6717,27.8911,0.0125455,0.0178444,0.0178444
