"ID1","AB_Flow_PCE","BA_Flow_PCE","Tot_Flow_PCE","AB_Time","BA_Time","Max_Time","AB_VOC","BA_VOC","Max_VOC","AB_VKmT","BA_VKmT","Tot_VKmT","AB_VHT","BA_VHT","Tot_VHT","AB_Speed","BA_Speed","AB_VDF","BA_VDF","Max_VDF","AB_Flow_OD_Number","BA_Flow_OD_Number","AB_Flow","BA_Flow","Tot_Flow"
147,395.0561,1035.8381,1430.8942,0.0359806,0.0383445,0.0383445,0.098764,0.25896,0.25896,14.9347,39.1588,54.0935,0.236906,0.661977,0.898883,63.0407,59.1543,0.0359806,0.0383445,0.0383445,395.0561,1035.8381,395.0561,1035.8381,1430.8942
149,731.5536,,731.5536,0.301313,,0.301313,0.110841,,0.110841,319.2449,,319.2449,3.67378,,3.67378,86.8981,,0.301313,,0.301313,731.5536,,731.5536,,731.5536
150,69.0000,124.8000,193.8000,0.050537,0.0512344,0.0512344,0.0492857,0.0891429,0.0891429,2.58046,4.66727,7.24773,0.0581176,0.106568,0.164685,44.4007,43.7963,0.050537,0.0512344,0.0512344,69.0000,124.8000,69.0000,124.8000,193.8000
152,124.8000,0.0000,124.8000,0.0910652,0.0886293,0.0910652,0.0891429,0.0000,0.0891429,8.29571,0.0000,8.29571,0.189416,0.0000,0.189416,43.7963,45.0000,0.0910652,0.0886293,0.0910652,124.8000,0.0000,124.8000,0.0000,124.8000
154,69.0000,,69.0000,0.100521,,0.100521,0.0492857,,0.0492857,5.1327,,5.1327,0.1156,,0.1156,44.4007,,0.100521,,0.100521,69.0000,,69.0000,,69.0000
155,89.4000,69.0000,158.4000,0.545821,0.543184,0.545821,0.0638571,0.0492857,0.0638571,35.9355,27.7354,63.6709,0.813274,0.624662,1.43794,44.1862,44.4007,0.545821,0.543184,0.545821,89.4000,69.0000,89.4000,69.0000,158.4000
157,404.4000,,404.4000,0.193583,,0.193583,0.0612727,,0.0612727,115.4048,,115.4048,1.30475,,1.30475,88.4498,,0.193583,,0.193583,404.4000,,404.4000,,404.4000
158,89.4000,69.0000,158.4000,0.0130833,0.0130201,0.0130833,0.0638571,0.0492857,0.0638571,0.861369,0.664815,1.52618,0.0194941,0.0149731,0.0344671,44.1862,44.4007,0.0130833,0.0130201,0.0130833,89.4000,69.0000,89.4000,69.0000,158.4000
160,56.5985,31.8000,88.3985,0.0527137,0.0524365,0.0527137,0.0404275,0.0227143,0.0404275,2.21408,1.24398,3.45806,0.0497252,0.0277914,0.0775166,44.5262,44.7615,0.0527137,0.0524365,0.0527137,56.5985,31.8000,56.5985,31.8000,88.3985
162,32.8015,37.2000,70.0015,0.0591023,0.0591553,0.0591553,0.0234297,0.0265714,0.0265714,1.44599,1.63989,3.08588,0.0323108,0.0366763,0.0689871,44.7525,44.7125,0.0591023,0.0591553,0.0591553,32.8015,37.2000,32.8015,37.2000,70.0015
164,31.8000,56.5985,88.3985,0.0527998,0.0530789,0.0530789,0.0227143,0.0404275,0.0404275,1.2526,2.22941,3.48202,0.0279839,0.0500697,0.0780536,44.7615,44.5262,0.0527998,0.0530789,0.0530789,31.8000,56.5985,31.8000,56.5985,88.3985
166,56.5985,34.5800,91.1784,0.569481,0.566805,0.569481,0.0404275,0.0247,0.0404275,23.9193,14.6140,38.5333,0.537196,0.326668,0.863864,44.5262,44.7364,0.569481,0.566805,0.569481,56.5985,34.5800,56.5985,34.5800,91.1784
168,250.1600,756.0170,1006.1770,0.242514,0.282516,0.282516,0.178686,0.540012,0.540012,42.7914,129.3212,172.1126,1.01112,3.55979,4.57091,42.3206,36.3284,0.242514,0.282516,0.282516,250.1600,756.0170,250.1600,756.0170,1006.1770
170,721.4370,193.5615,914.9985,0.223572,0.190898,0.223572,0.515312,0.138258,0.515312,98.6976,26.4806,125.1782,2.68822,0.615842,3.30406,36.7149,42.9990,0.223572,0.190898,0.223572,721.4370,193.5615,721.4370,193.5615,914.9985
172,150.6000,,150.6000,0.289912,,0.289912,0.0228182,,0.0228182,65.1422,,65.1422,0.727679,,0.727679,89.5205,,0.289912,,0.289912,150.6000,,150.6000,,150.6000
173,0.0000,,0.0000,0.019216,,0.019216,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,45.0000,,0.019216,,0.019216,0.0000,,0.0000,,0.0000
174,235.1600,583.2000,818.3600,0.0566392,0.0628467,0.0628467,0.167971,0.416571,0.416571,9.43485,23.3986,32.8334,0.221988,0.61087,0.832858,42.5016,38.3037,0.0566392,0.0628467,0.0628467,235.1600,583.2000,235.1600,583.2000,818.3600
176,756.0170,235.1600,991.1770,0.0667049,0.0570162,0.0667049,0.540012,0.167971,0.540012,30.5340,9.49764,40.0317,0.8405,0.223465,1.06397,36.3284,42.5016,0.0667049,0.0570162,0.0667049,756.0170,235.1600,756.0170,235.1600,991.1770
178,0.0000,0.0000,0.0000,0.0354013,0.0354013,0.0354013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.0000,45.0000,0.0354013,0.0354013,0.0354013,0.0000,0.0000,0.0000,0.0000,0.0000
180,172.8170,,172.8170,0.0592334,,0.0592334,0.123441,,0.123441,7.37773,,7.37773,0.170609,,0.170609,43.2435,,0.0592334,,0.0592334,172.8170,,172.8170,,172.8170
181,15.0000,172.8170,187.8170,0.270991,0.28139,0.28139,0.0107143,0.123441,0.123441,3.04207,35.0482,38.0902,0.0677478,0.810483,0.878231,44.9029,43.2435,0.270991,0.28139,0.28139,15.0000,172.8170,15.0000,172.8170,187.8170
183,0.0000,,0.0000,0.111617,,0.111617,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,90.0000,,0.111617,,0.111617,0.0000,,0.0000,,0.0000
184,15.0000,172.8170,187.8170,0.203702,0.211519,0.211519,0.0107143,0.123441,0.123441,2.28671,26.3454,28.6321,0.0509255,0.609234,0.66016,44.9029,43.2435,0.203702,0.211519,0.211519,15.0000,172.8170,15.0000,172.8170,187.8170
186,42.6000,195.0170,237.6170,0.313649,0.325911,0.325911,0.0304286,0.139298,0.139298,9.94582,45.5306,55.4764,0.222691,1.0593,1.28199,44.6621,42.9817,0.313649,0.325911,0.325911,42.6000,195.0170,42.6000,195.0170,237.6170
188,0.0000,0.0000,0.0000,0.326871,0.326871,0.326871,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.0000,45.0000,0.326871,0.326871,0.326871,0.0000,0.0000,0.0000,0.0000,0.0000
190,195.0170,42.6000,237.6170,0.18869,0.18159,0.18869,0.139298,0.0304286,0.139298,26.3604,5.75824,32.1187,0.613295,0.128929,0.742224,42.9817,44.6621,0.18869,0.18159,0.18869,195.0170,42.6000,195.0170,42.6000,237.6170
